blur_jpg_prob0.1 model testing on...
testset,accuracy,avg precision
progan,0.999875,0.9999998750624688
stylegan,0.8708896678350859,0.9959303256834682
biggan,0.70175,0.845040663983295
cyclegan,0.8516275548826646,0.9346833623822388
stargan,0.9169584792396198,0.9815029163874386
gaugan,0.7894,0.8948684462429757
crn,0.8630523346913194,0.9825024180766035
imle,0.8625039172673143,0.9841877203388092
seeingdark,0.9027777777777778,0.9721070461173982
san,0.5045662100456622,0.7047407490606171
deepfake,0.5348751156336725,0.8902642641070445
stylegan2,0.8438908362543815,0.9910242016702779
whichfaceisreal,0.836,0.9320616473648802
